epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,488.406,1.27617,0.62493,1.372,0.98793,0.96156,0.98599,0.68149,1.21014,0.49133,1.27239,0.0670057,0.000333276,0.000333276
2,971.381,1.20853,0.54371,1.31118,0.98726,0.96239,0.98892,0.66741,1.24803,0.4699,1.28529,0.0339925,0.00065341,0.00065341
3,1463.95,1.19485,0.52287,1.29926,0.9755,0.95446,0.98656,0.66158,1.24953,0.50279,1.29929,0.000966086,0.000960345,0.000960345
4,1967.91,1.16222,0.51645,1.27231,0.97291,0.95092,0.97494,0.67593,1.19305,0.5062,1.24699,0.0009406,0.0009406,0.0009406
5,2522.53,1.14831,0.50811,1.26293,0.9835,0.97753,0.99151,0.69451,1.16926,0.44021,1.24418,0.0009208,0.0009208,0.0009208
6,3039.35,1.13741,0.49375,1.26327,0.95234,0.94855,0.97103,0.66088,1.19673,0.52242,1.25335,0.000901,0.000901,0.000901
7,3526.82,1.14957,0.49608,1.26068,0.97877,0.95433,0.97157,0.64759,1.23447,1.08806,1.28334,0.0008812,0.0008812,0.0008812
8,4068.82,1.1392,0.48845,1.2526,0.97554,0.9434,0.95858,0.66087,1.19157,1.36983,1.25232,0.0008614,0.0008614,0.0008614
9,4605.62,1.11412,0.47038,1.23977,0.97533,0.95565,0.96621,0.66885,1.16338,0.96247,1.23167,0.0008416,0.0008416,0.0008416
10,5078.6,1.10859,0.46734,1.24781,0.95601,0.94796,0.97081,0.65256,1.22702,0.62597,1.26677,0.0008218,0.0008218,0.0008218
11,5675.78,1.10991,0.46885,1.23832,0.98121,0.95724,0.97918,0.68405,1.14537,0.68685,1.23248,0.000802,0.000802,0.000802
12,6185.64,1.10682,0.47729,1.24112,0.97935,0.95151,0.97837,0.68642,1.14969,0.54294,1.22564,0.0007822,0.0007822,0.0007822
13,6701.48,1.10217,0.46628,1.23294,0.90154,0.93673,0.91935,0.63637,1.16859,1.00638,1.24206,0.0007624,0.0007624,0.0007624
14,7199.36,1.09393,0.46521,1.23555,0.83459,0.94382,0.85388,0.57143,1.23116,0.66022,1.27122,0.0007426,0.0007426,0.0007426
15,7731.69,1.08885,0.45312,1.23153,0.79103,0.94323,0.8259,0.5689,1.16339,0.92896,1.2463,0.0007228,0.0007228,0.0007228
16,8240.25,1.09025,0.45828,1.2341,0.7815,0.94336,0.82643,0.55152,1.2445,0.76792,1.28996,0.000703,0.000703,0.000703
17,8758.94,1.08325,0.44896,1.22489,0.90331,0.95328,0.90993,0.61057,1.22505,0.61526,1.26546,0.0006832,0.0006832,0.0006832
18,9280.6,1.06604,0.44986,1.21406,0.71141,0.9155,0.74518,0.49601,1.21823,0.91955,1.27738,0.0006634,0.0006634,0.0006634
19,9792.09,1.08312,0.44026,1.21869,0.68885,0.92694,0.71779,0.47274,1.23866,0.87293,1.2841,0.0006436,0.0006436,0.0006436
20,10298,1.09067,0.44456,1.22543,0.76163,0.94796,0.79213,0.53608,1.20672,0.8826,1.26897,0.0006238,0.0006238,0.0006238
21,10788.4,1.06669,0.43996,1.21018,0.96266,0.94086,0.9507,0.66188,1.1649,1.4383,1.23224,0.000604,0.000604,0.000604
22,11266.6,1.06891,0.43759,1.21822,0.7675,0.94873,0.80051,0.54499,1.17303,1.05733,1.23645,0.0005842,0.0005842,0.0005842
23,11751.3,1.06446,0.43666,1.2145,0.85672,0.95473,0.87647,0.60566,1.13834,0.59908,1.22258,0.0005644,0.0005644,0.0005644
24,12224.7,1.06021,0.4309,1.2087,0.46651,0.83619,0.48425,0.32285,1.19967,1.47243,1.26177,0.0005446,0.0005446,0.0005446
25,12707.9,1.06484,0.434,1.21324,0.84234,0.92726,0.88634,0.62025,1.14864,1.04591,1.22534,0.0005248,0.0005248,0.0005248
26,13194.3,1.06118,0.42839,1.21082,0.53749,0.84033,0.55762,0.38297,1.14625,1.69747,1.22839,0.000505,0.000505,0.000505
27,13671.1,1.05406,0.42645,1.20869,0.71754,0.89415,0.75192,0.50657,1.20874,1.11378,1.26898,0.0004852,0.0004852,0.0004852
28,14153,1.05288,0.42394,1.20051,0.5578,0.8422,0.58932,0.39339,1.22168,1.30821,1.28476,0.0004654,0.0004654,0.0004654
29,14636.4,1.0502,0.42117,1.20216,0.60397,0.86761,0.6526,0.44817,1.18698,1.11482,1.25503,0.0004456,0.0004456,0.0004456
30,15110.9,1.04045,0.41557,1.19338,0.7207,0.94323,0.77794,0.51513,1.23088,0.98873,1.29029,0.0004258,0.0004258,0.0004258
31,15584,1.04414,0.42461,1.19792,0.82093,0.94737,0.87489,0.60084,1.16836,0.84881,1.24797,0.000406,0.000406,0.000406
32,16058.8,1.03938,0.41239,1.19705,0.85959,0.9521,0.8746,0.60111,1.1625,0.78863,1.24113,0.0003862,0.0003862,0.0003862
33,16541.9,1.03329,0.41294,1.18883,0.50295,0.91543,0.50987,0.3396,1.19937,2.17846,1.26571,0.0003664,0.0003664,0.0003664
34,17018.1,1.02242,0.40233,1.18128,0.87188,0.94441,0.88074,0.59366,1.19646,1.38824,1.26434,0.0003466,0.0003466,0.0003466
35,17503.7,1.03473,0.41283,1.19069,0.86387,0.94194,0.86502,0.58431,1.1996,1.42156,1.26195,0.0003268,0.0003268,0.0003268
