epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,11590.1,0.46398,0.25738,0.87275,0.97437,0.98241,0.98362,0.86418,0.55433,0.34632,0.93791,3.565e-05,3.565e-05,3.565e-05
41,11857.5,0.46321,0.25508,0.87906,0.97025,0.98343,0.97953,0.8523,0.55837,0.37236,0.94004,3.4e-05,3.4e-05,3.4e-05
42,12116.6,0.45444,0.25187,0.87127,0.97574,0.97739,0.98134,0.85942,0.55367,0.36264,0.94056,3.235e-05,3.235e-05,3.235e-05
43,12381,0.45748,0.25142,0.87492,0.97318,0.9799,0.98648,0.86636,0.5559,0.3422,0.93994,3.07e-05,3.07e-05,3.07e-05
44,12598.2,0.46032,0.25425,0.87325,0.97741,0.97845,0.98428,0.86309,0.55728,0.35415,0.94212,2.905e-05,2.905e-05,2.905e-05
45,12856,0.45724,0.25133,0.869,0.97745,0.98009,0.98532,0.8672,0.55132,0.34373,0.93858,2.74e-05,2.74e-05,2.74e-05
46,13260.5,0.45682,0.25147,0.86905,0.97779,0.9799,0.9843,0.86263,0.55507,0.35959,0.94156,2.575e-05,2.575e-05,2.575e-05
47,13524,0.44501,0.24974,0.86805,0.9763,0.9799,0.98377,0.86275,0.55253,0.35981,0.94349,2.41e-05,2.41e-05,2.41e-05
48,13813.5,0.45124,0.24903,0.87013,0.97799,0.9799,0.98031,0.85719,0.55161,0.35746,0.93969,2.245e-05,2.245e-05,2.245e-05
49,14074.1,0.4486,0.24919,0.86636,0.98216,0.9799,0.9845,0.86714,0.55442,0.33496,0.94273,2.08e-05,2.08e-05,2.08e-05
50,14362.7,0.44874,0.24683,0.87259,0.97754,0.9799,0.98061,0.85946,0.55634,0.35216,0.94264,1.915e-05,1.915e-05,1.915e-05
51,14652.7,0.44628,0.24765,0.86859,0.97786,0.9799,0.98125,0.86258,0.55596,0.34655,0.94009,1.75e-05,1.75e-05,1.75e-05
52,14911.5,0.44693,0.24776,0.86601,0.97482,0.9799,0.98014,0.85715,0.55704,0.36664,0.94432,1.585e-05,1.585e-05,1.585e-05
53,15170.7,0.44689,0.24815,0.86484,0.97763,0.9799,0.98238,0.86316,0.5558,0.34775,0.942,1.42e-05,1.42e-05,1.42e-05
