epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10572.8,0.90908,0.43365,1.16122,0.99417,1,0.99361,0.76148,0.88363,0.3667,1.18312,0.0010842,0.0010842,0.0010842
44,10670.3,0.91574,0.43807,1.16542,0.98909,1,0.991,0.74316,0.9654,0.38998,1.23912,0.0010743,0.0010743,0.0010743
45,10770.9,0.8941,0.42094,1.16262,0.99469,1,0.995,0.76733,0.93825,0.3604,1.22161,0.0010644,0.0010644,0.0010644
46,10842.7,0.91622,0.42944,1.15873,0.98953,1,0.99311,0.76996,0.93548,0.38991,1.21565,0.0010545,0.0010545,0.0010545
47,10927.8,0.89996,0.42962,1.15235,0.99466,1,0.995,0.75275,0.99321,0.37888,1.26812,0.0010446,0.0010446,0.0010446
48,11006.5,0.873,0.4143,1.14184,0.9943,1,0.995,0.74316,1.02644,0.39139,1.25781,0.0010347,0.0010347,0.0010347
49,11072.4,0.87213,0.42719,1.14301,0.99459,1,0.995,0.7246,0.99874,0.38166,1.2684,0.0010248,0.0010248,0.0010248
50,11175.2,0.90656,0.43323,1.15679,0.99427,1,0.99485,0.75063,0.952,0.38449,1.22533,0.0010149,0.0010149,0.0010149
51,11252.3,0.87997,0.41456,1.14229,0.99456,1,0.99455,0.74625,0.95211,0.37495,1.23636,0.001005,0.001005,0.001005
52,11341.7,0.87908,0.40486,1.13896,0.99725,1,0.995,0.74034,0.99463,0.39844,1.24158,0.0009951,0.0009951,0.0009951
53,11417,0.86661,0.42666,1.13481,0.98968,1,0.9929,0.76405,0.93564,0.36489,1.2163,0.0009852,0.0009852,0.0009852
54,11499.6,0.88417,0.42077,1.12204,0.99451,1,0.995,0.74771,0.94177,0.38267,1.21681,0.0009753,0.0009753,0.0009753
55,11585.5,0.86536,0.41908,1.11727,0.99512,1,0.995,0.72727,1.02608,0.3972,1.27971,0.0009654,0.0009654,0.0009654
56,11658.3,0.869,0.40085,1.12213,0.99765,1,0.995,0.72537,1.0219,0.38875,1.26654,0.0009555,0.0009555,0.0009555
