epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1909,1.00119,0.49228,1.12387,0.97127,0.995,0.99214,0.76229,0.92541,0.42549,1.01963,0.0671875,0.000331439,0.000331439
2,68.1833,0.90199,0.4322,1.07972,0.97402,1,0.98832,0.76872,0.88887,0.40762,1.03197,0.0341793,0.000656546,0.000656546
3,101.109,0.95714,0.44031,1.10052,0.93389,0.985,0.97629,0.75067,0.97927,0.46911,1.06667,0.0011628,0.000973403,0.000973403
4,137.46,0.92074,0.43226,1.0946,0.9725,1,0.9908,0.7484,0.9499,0.43898,1.04605,0.000962875,0.000962875,0.000962875
5,174.129,0.90525,0.43525,1.08913,0.99496,1,0.995,0.76692,0.92069,0.41602,1.04357,0.0009505,0.0009505,0.0009505
6,211.86,0.90346,0.44047,1.0964,0.97362,1,0.99112,0.7609,0.90766,0.42614,1.03132,0.000938125,0.000938125,0.000938125
7,247.809,0.90725,0.45148,1.08686,0.97087,0.9997,0.99053,0.75033,0.94494,0.42231,1.02345,0.00092575,0.00092575,0.00092575
8,281.234,0.8737,0.41789,1.051,0.98946,1,0.9923,0.77608,0.88545,0.39536,1.00903,0.000913375,0.000913375,0.000913375
9,316.113,0.87362,0.4094,1.04993,0.9939,1,0.9947,0.77253,0.89584,0.38869,1.02019,0.000901,0.000901,0.000901
10,349.953,0.88334,0.40699,1.07191,0.97996,1,0.98332,0.7685,0.88222,0.38655,1.00408,0.000888625,0.000888625,0.000888625
11,385.336,0.87962,0.42648,1.06802,0.96612,1,0.98479,0.77733,0.87566,0.381,1.01145,0.00087625,0.00087625,0.00087625
12,418.649,0.88095,0.41957,1.05842,0.99438,1,0.99326,0.78572,0.85994,0.36581,0.99672,0.000863875,0.000863875,0.000863875
13,454.085,0.87567,0.41116,1.07224,0.99457,1,0.99291,0.79043,0.87832,0.36285,0.99814,0.0008515,0.0008515,0.0008515
14,489.914,0.87424,0.40119,1.06154,0.98671,1,0.99485,0.79771,0.87779,0.38234,1.00206,0.000839125,0.000839125,0.000839125
