epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.692,1.19866,0.78962,1.12728,0.93912,0.81469,0.8737,0.57309,1.22099,0.77409,1.06157,0.066869,0.000166487,0.000166487
2,263.144,1.12615,0.6697,1.08292,0.88763,0.82042,0.85537,0.56974,1.18054,0.78408,1.02307,0.0336913,0.00032216,0.00032216
3,392.739,1.0366,0.6056,1.03473,0.91339,0.84155,0.88559,0.63641,1.01609,0.6665,0.98644,0.000502675,0.000466833,0.000466833
4,521.52,1.02247,0.58935,1.02963,0.91364,0.85677,0.89174,0.65975,0.9491,0.62398,0.96949,0.0004505,0.0004505,0.0004505
5,650.506,0.98957,0.56921,1.02228,0.89204,0.85211,0.8769,0.63321,0.98039,0.69184,0.96894,0.000434,0.000434,0.000434
6,779.202,0.96816,0.53234,1.00227,0.90632,0.85161,0.8805,0.61838,1.01231,0.597,0.96286,0.0004175,0.0004175,0.0004175
7,908.313,0.93805,0.51978,0.98925,0.86322,0.82746,0.839,0.5585,1.13683,0.87954,0.99835,0.000401,0.000401,0.000401
8,1036.67,0.9514,0.52748,0.99174,0.9213,0.8169,0.86875,0.59994,1.08886,0.68371,0.98533,0.0003845,0.0003845,0.0003845
9,1165.47,0.89637,0.50881,0.9569,0.88742,0.83451,0.86127,0.59506,1.02677,0.75814,0.96235,0.000368,0.000368,0.000368
10,1294.76,0.90052,0.50627,0.96836,0.90965,0.81542,0.85851,0.56469,1.1434,0.75064,0.97279,0.0003515,0.0003515,0.0003515
11,1423.32,0.87704,0.49504,0.96678,0.89061,0.84155,0.87335,0.57095,1.20939,0.6916,0.99494,0.000335,0.000335,0.000335
12,1552.76,0.86661,0.4899,0.94396,0.91695,0.82042,0.86887,0.61938,0.98017,0.66988,0.94351,0.0003185,0.0003185,0.0003185
13,1681.46,0.8832,0.47915,0.95881,0.84693,0.82042,0.81466,0.56326,1.03982,0.8934,0.95962,0.000302,0.000302,0.000302
14,1811.22,0.83599,0.45113,0.93531,0.83615,0.86972,0.84053,0.57632,1.05787,0.72419,0.96382,0.0002855,0.0002855,0.0002855
15,1940.08,0.82918,0.46712,0.94086,0.85082,0.80325,0.79902,0.57148,0.98398,0.89546,0.94749,0.000269,0.000269,0.000269
16,2069.47,0.83702,0.45927,0.95068,0.89382,0.82394,0.8579,0.57833,1.09659,0.79472,0.96818,0.0002525,0.0002525,0.0002525
17,2198.22,0.82169,0.45269,0.9325,0.92965,0.83754,0.88073,0.60697,1.04157,0.6826,0.95085,0.000236,0.000236,0.000236
18,2326.97,0.82865,0.45302,0.93595,0.85253,0.83099,0.82381,0.58136,0.98524,0.80573,0.94472,0.0002195,0.0002195,0.0002195
19,2456.24,0.8554,0.44359,0.94853,0.86383,0.83099,0.83511,0.56869,1.10042,0.76934,0.96567,0.000203,0.000203,0.000203
20,2586.12,0.83207,0.43696,0.93049,0.88402,0.83204,0.84007,0.54817,1.17522,0.82437,0.98301,0.0001865,0.0001865,0.0001865
21,2714.7,0.80707,0.44124,0.92812,0.86586,0.80986,0.80862,0.52234,1.19807,1.02263,0.99485,0.00017,0.00017,0.00017
22,2843.28,0.80614,0.43663,0.91966,0.90401,0.82901,0.83989,0.54166,1.19738,0.89671,0.98868,0.0001535,0.0001535,0.0001535
23,2972.38,0.7947,0.43203,0.93631,0.88405,0.83224,0.83107,0.5306,1.21902,0.93347,0.99867,0.000137,0.000137,0.000137
24,3100.56,0.77611,0.42712,0.93085,0.89819,0.83099,0.83553,0.56658,1.08943,0.79961,0.96181,0.0001205,0.0001205,0.0001205
