epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.226,1.54325,1.22709,1.70864,0.99468,0.93439,0.97299,0.59502,1.34998,0.73916,1.43071,0.0670469,0.00033286,0.00033286
2,245.428,1.22219,0.77737,1.39766,0.97635,0.925,0.97499,0.61817,1.23816,0.6687,1.32409,0.0340375,0.000656771,0.000656771
3,360.227,1.19753,0.74346,1.35897,0.97278,0.965,0.97962,0.61203,1.30408,0.73171,1.35995,0.0010186,0.000971254,0.000971254
4,474.048,1.15128,0.72951,1.3381,0.96979,0.92,0.96534,0.56856,1.43604,0.80385,1.51302,0.000957571,0.000957571,0.000957571
5,593.032,1.13283,0.70022,1.31784,0.89385,0.995,0.97596,0.67997,1.10715,0.76412,1.27854,0.000943429,0.000943429,0.000943429
6,701.349,1.086,0.64935,1.26962,0.98979,0.96986,0.99327,0.70475,1.02754,0.60021,1.20492,0.000929286,0.000929286,0.000929286
7,805.313,1.06879,0.61066,1.2879,0.97007,0.995,0.98873,0.67588,1.18377,0.65222,1.27269,0.000915143,0.000915143,0.000915143
8,908.887,1.06041,0.59548,1.24608,0.97549,0.985,0.98504,0.68684,1.10863,0.6005,1.22736,0.000901,0.000901,0.000901
9,1012.26,1.05857,0.59882,1.25098,0.98909,1,0.9941,0.71744,1.01482,0.49935,1.19253,0.000886857,0.000886857,0.000886857
10,1115.53,1.02383,0.57313,1.22549,0.98913,0.995,0.99475,0.67215,1.22121,0.51278,1.29065,0.000872714,0.000872714,0.000872714
11,1219.68,1.02718,0.52943,1.22479,0.98957,0.995,0.99299,0.64692,1.29064,0.5929,1.33236,0.000858571,0.000858571,0.000858571
12,1322.58,1.05228,0.55579,1.23949,0.96166,1,0.98669,0.71903,1.0401,0.53021,1.16678,0.000844429,0.000844429,0.000844429
13,1426.05,1.01287,0.53791,1.19274,0.95782,0.995,0.99014,0.71398,1.05411,0.53932,1.17941,0.000830286,0.000830286,0.000830286
14,1529.46,0.99847,0.56388,1.18871,0.97331,0.995,0.99368,0.73261,1.01703,0.49045,1.1688,0.000816143,0.000816143,0.000816143
