epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0013,0.93134,0.56124,1.08689,0.98662,0.97105,0.99212,0.79763,0.76854,0.43041,1.02771,0.067113,0.000332192,0.000332192
2,123.712,0.77905,0.46645,1.02273,0.98942,0.98456,0.99474,0.8276,0.6888,0.39373,0.97638,0.0341048,0.000657289,0.000657289
3,182.846,0.74165,0.44677,1.00554,0.99475,0.9966,0.99495,0.82914,0.7132,0.37509,0.98092,0.00108829,0.000974137,0.000974137
4,241.749,0.72846,0.43374,1.00242,0.99367,0.99211,0.99495,0.83472,0.69535,0.37057,0.98116,0.000962875,0.000962875,0.000962875
5,299.225,0.68445,0.41505,0.97917,0.97422,0.99448,0.9891,0.86127,0.56612,0.36866,0.92722,0.0009505,0.0009505,0.0009505
6,360.465,0.66869,0.41544,0.96972,0.99455,0.99211,0.99497,0.85928,0.59937,0.35214,0.93877,0.000938125,0.000938125,0.000938125
7,421.604,0.65044,0.39117,0.96179,0.98143,0.99474,0.99476,0.86636,0.59638,0.34311,0.94364,0.00092575,0.00092575,0.00092575
8,483.928,0.66397,0.39438,0.98029,0.99078,0.99474,0.995,0.86255,0.61101,0.33054,0.93678,0.000913375,0.000913375,0.000913375
9,544.795,0.68066,0.40169,0.97123,0.97812,1,0.99096,0.84714,0.58396,0.36276,0.92144,0.000901,0.000901,0.000901
10,605.854,0.6351,0.38091,0.95213,0.99046,0.99737,0.99495,0.8771,0.56031,0.32167,0.90436,0.000888625,0.000888625,0.000888625
11,666.265,0.64794,0.37812,0.9536,0.98682,0.99737,0.99468,0.87029,0.58768,0.34238,0.92486,0.00087625,0.00087625,0.00087625
12,727.386,0.63568,0.38629,0.95388,0.99079,0.99474,0.99497,0.86738,0.59428,0.32591,0.91356,0.000863875,0.000863875,0.000863875
13,785.779,0.63997,0.38391,0.96601,0.98003,0.99737,0.99119,0.86206,0.58134,0.31707,0.91123,0.0008515,0.0008515,0.0008515
14,830.47,0.63405,0.37322,0.94338,0.98625,0.99737,0.99487,0.86878,0.56236,0.29729,0.91035,0.000839125,0.000839125,0.000839125
15,862.321,0.6186,0.36526,0.95256,0.99258,1,0.99495,0.88414,0.54385,0.29621,0.90738,0.00082675,0.00082675,0.00082675
16,915.809,0.60623,0.3521,0.94413,0.98951,0.99339,0.99436,0.88358,0.53651,0.28053,0.89991,0.000814375,0.000814375,0.000814375
17,975.993,0.60474,0.35888,0.94398,0.99794,0.99737,0.995,0.87268,0.55898,0.29469,0.90346,0.000802,0.000802,0.000802
18,1037.58,0.64249,0.38156,0.94644,0.99389,0.98947,0.99447,0.86348,0.59858,0.30206,0.91817,0.000789625,0.000789625,0.000789625
19,1098.9,0.59943,0.3521,0.93966,0.98956,0.99794,0.99363,0.86432,0.54934,0.29297,0.90722,0.00077725,0.00077725,0.00077725
20,1158.81,0.60893,0.35946,0.94597,0.98933,1,0.99094,0.87363,0.55783,0.30026,0.8999,0.000764875,0.000764875,0.000764875
21,1221.09,0.60133,0.35561,0.93634,0.9947,0.988,0.99381,0.87541,0.52907,0.29587,0.89994,0.0007525,0.0007525,0.0007525
22,1282.65,0.62402,0.35462,0.93844,0.99574,0.98684,0.99492,0.88834,0.53128,0.28916,0.89249,0.000740125,0.000740125,0.000740125
23,1341.51,0.6207,0.35408,0.93505,1,0.99652,0.995,0.88022,0.54267,0.28352,0.90337,0.00072775,0.00072775,0.00072775
24,1400.56,0.59951,0.34274,0.9366,0.99214,0.99619,0.99311,0.88466,0.52544,0.28353,0.89892,0.000715375,0.000715375,0.000715375
25,1461.23,0.60806,0.34299,0.9416,0.99283,0.99737,0.99497,0.89012,0.54039,0.28063,0.88887,0.000703,0.000703,0.000703
26,1520.95,0.60378,0.35521,0.94016,0.98657,0.97895,0.99075,0.87528,0.51551,0.29041,0.89483,0.000690625,0.000690625,0.000690625
27,1580.8,0.58574,0.34539,0.93187,0.99813,0.99211,0.995,0.87597,0.55838,0.28407,0.88803,0.00067825,0.00067825,0.00067825
28,1641.95,0.59997,0.35495,0.93894,0.99586,0.99737,0.995,0.88378,0.51217,0.28182,0.87778,0.000665875,0.000665875,0.000665875
29,1701.12,0.58124,0.33309,0.93738,0.99059,0.99474,0.995,0.88189,0.53991,0.28041,0.90157,0.0006535,0.0006535,0.0006535
30,1759.66,0.59641,0.34021,0.93906,0.99737,0.99724,0.99497,0.89342,0.52392,0.27922,0.89555,0.000641125,0.000641125,0.000641125
31,1817.27,0.58302,0.3343,0.93393,0.98827,0.98684,0.99413,0.88219,0.53141,0.28555,0.90785,0.00062875,0.00062875,0.00062875
32,1877.39,0.59115,0.34259,0.93712,0.99736,0.99235,0.995,0.87997,0.53175,0.27908,0.89116,0.000616375,0.000616375,0.000616375
33,1938.09,0.56637,0.32902,0.92886,0.99683,0.99737,0.995,0.8816,0.54446,0.28454,0.89634,0.000604,0.000604,0.000604
34,1997.87,0.58351,0.33575,0.9298,0.98106,0.98947,0.99175,0.88317,0.5124,0.28187,0.89465,0.000591625,0.000591625,0.000591625
35,2056.07,0.57613,0.32745,0.92652,0.98872,0.99474,0.99174,0.89,0.50155,0.27943,0.88173,0.00057925,0.00057925,0.00057925
36,2115.6,0.5715,0.32553,0.92743,1,0.99605,0.995,0.88843,0.52478,0.27056,0.90871,0.000566875,0.000566875,0.000566875
37,2172.9,0.57364,0.32419,0.92034,0.99877,0.99474,0.995,0.8977,0.50913,0.26336,0.88649,0.0005545,0.0005545,0.0005545
38,2228.06,0.55921,0.32177,0.92444,1,0.99407,0.995,0.8904,0.50357,0.26347,0.87745,0.000542125,0.000542125,0.000542125
39,2286.15,0.56412,0.32739,0.91863,0.99909,0.98947,0.99495,0.89501,0.49847,0.26464,0.87809,0.00052975,0.00052975,0.00052975
40,2343.91,0.58085,0.32903,0.92456,0.99187,0.98947,0.99216,0.88099,0.51535,0.27687,0.88938,0.000517375,0.000517375,0.000517375
41,2400.28,0.5625,0.31397,0.9186,0.99475,0.9964,0.99484,0.88779,0.5234,0.26976,0.89133,0.000505,0.000505,0.000505
