epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4412,0.89732,0.54513,0.96985,0.92555,0.87543,0.92379,0.6888,0.8841,0.54815,0.94364,0.0668927,8.29757e-05,8.29757e-05
2,193.024,0.86353,0.49997,0.94806,0.96127,0.8739,0.93311,0.6895,0.90974,0.50985,0.93888,0.0336361,0.000159723,0.000159723
3,293.522,0.86434,0.49068,0.94732,0.91881,0.88732,0.92566,0.71578,0.853,0.51713,0.93102,0.000372932,0.000229871,0.000229871
4,396.754,0.82631,0.46599,0.93425,0.92406,0.88028,0.93043,0.72682,0.83069,0.49431,0.9299,0.0002203,0.0002203,0.0002203
5,502.068,0.83823,0.46141,0.93836,0.94503,0.88028,0.93525,0.70994,0.87995,0.48759,0.93744,0.0002104,0.0002104,0.0002104
6,586.721,0.8194,0.45138,0.93263,0.93819,0.88732,0.93376,0.71745,0.85967,0.47593,0.93168,0.0002005,0.0002005,0.0002005
7,663.228,0.80031,0.44061,0.92973,0.92276,0.88336,0.91912,0.69996,0.82619,0.4893,0.92266,0.0001906,0.0001906,0.0001906
8,739.851,0.79409,0.4412,0.91895,0.92922,0.87832,0.91955,0.69596,0.85591,0.50111,0.92898,0.0001807,0.0001807,0.0001807
9,818.517,0.77957,0.4314,0.91879,0.94019,0.88569,0.93742,0.72867,0.82589,0.4733,0.92051,0.0001708,0.0001708,0.0001708
10,899.578,0.7771,0.43251,0.92074,0.9303,0.89295,0.92749,0.71641,0.80611,0.48162,0.91901,0.0001609,0.0001609,0.0001609
11,980.336,0.77179,0.42136,0.91607,0.92604,0.89085,0.9205,0.71651,0.80831,0.48896,0.92043,0.000151,0.000151,0.000151
12,1060.34,0.77599,0.41358,0.91855,0.9235,0.89259,0.93116,0.71404,0.83701,0.47606,0.92144,0.0001411,0.0001411,0.0001411
13,1142.14,0.77281,0.41778,0.92036,0.9512,0.89222,0.94289,0.71303,0.86325,0.46949,0.92436,0.0001312,0.0001312,0.0001312
14,1223.01,0.76296,0.40421,0.89705,0.94139,0.89085,0.94103,0.74379,0.80015,0.46251,0.91571,0.0001213,0.0001213,0.0001213
15,1303.67,0.77319,0.41159,0.91273,0.94382,0.88728,0.93803,0.72427,0.83255,0.46973,0.91821,0.0001114,0.0001114,0.0001114
16,1384.02,0.75486,0.40878,0.90349,0.93359,0.89095,0.92639,0.71966,0.81531,0.47329,0.91544,0.0001015,0.0001015,0.0001015
17,1465.91,0.75542,0.40583,0.90479,0.93831,0.89085,0.94075,0.73466,0.7934,0.452,0.91335,9.16e-05,9.16e-05,9.16e-05
18,1546.17,0.75863,0.39924,0.90486,0.9368,0.88721,0.9401,0.7208,0.86046,0.47233,0.92076,8.17e-05,8.17e-05,8.17e-05
19,1626.88,0.74959,0.39567,0.89811,0.92649,0.89085,0.9376,0.73924,0.78632,0.45607,0.91082,7.18e-05,7.18e-05,7.18e-05
20,1707.92,0.762,0.39698,0.90347,0.92024,0.89378,0.93322,0.71737,0.8291,0.47814,0.916,6.19e-05,6.19e-05,6.19e-05
21,1790.41,0.7305,0.38575,0.8947,0.92948,0.89437,0.94216,0.73241,0.8102,0.4674,0.91288,5.2e-05,5.2e-05,5.2e-05
22,1873.45,0.75194,0.39203,0.90804,0.91362,0.89385,0.93455,0.72886,0.80041,0.47144,0.91204,4.21e-05,4.21e-05,4.21e-05
23,1960.33,0.72594,0.38691,0.89147,0.93378,0.89378,0.94462,0.73565,0.79771,0.4624,0.91127,3.22e-05,3.22e-05,3.22e-05
24,2041.38,0.73216,0.3887,0.88923,0.92919,0.89085,0.9444,0.73515,0.80683,0.45888,0.91184,2.23e-05,2.23e-05,2.23e-05
25,2121.95,0.74259,0.3845,0.90026,0.91668,0.89102,0.94035,0.72991,0.81153,0.46585,0.91286,1.24e-05,1.24e-05,1.24e-05
